STATE/UT,DISTRICT,YEAR,RAPE
BIHAR,AURANGABAD,2001,16
BIHAR,AURANGABAD,2002,12
BIHAR,AURANGABAD,2003,18
BIHAR,AURANGABAD,2004,18
BIHAR,AURANGABAD,2005,17
BIHAR,AURANGABAD,2006,18
BIHAR,AURANGABAD,2007,30
BIHAR,AURANGABAD,2008,30
BIHAR,AURANGABAD,2009,19
BIHAR,AURANGABAD,2010,12
BIHAR,AURANGABAD,2011,18
BIHAR,AURANGABAD,2012,22
MAHARASHTRA,AURANGABAD COMMR.,2001,14
MAHARASHTRA,AURANGABAD COMMR.,2002,8
MAHARASHTRA,AURANGABAD COMMR.,2003,8
MAHARASHTRA,AURANGABAD COMMR.,2004,12
MAHARASHTRA,AURANGABAD COMMR.,2005,26
MAHARASHTRA,AURANGABAD COMMR.,2006,33
MAHARASHTRA,AURANGABAD COMMR.,2007,18
MAHARASHTRA,AURANGABAD COMMR.,2008,21
MAHARASHTRA,AURANGABAD COMMR.,2009,22
MAHARASHTRA,AURANGABAD COMMR.,2010,23
MAHARASHTRA,AURANGABAD COMMR.,2011,16
MAHARASHTRA,AURANGABAD COMMR.,2012,23
MAHARASHTRA,AURANGABAD RURAL,2001,28
MAHARASHTRA,AURANGABAD RURAL,2002,12
MAHARASHTRA,AURANGABAD RURAL,2003,14
MAHARASHTRA,AURANGABAD RURAL,2004,10
MAHARASHTRA,AURANGABAD RURAL,2005,9
MAHARASHTRA,AURANGABAD RURAL,2006,10
MAHARASHTRA,AURANGABAD RURAL,2007,14
MAHARASHTRA,AURANGABAD RURAL,2008,21
MAHARASHTRA,AURANGABAD RURAL,2009,14
MAHARASHTRA,AURANGABAD RURAL,2010,16
MAHARASHTRA,AURANGABAD RURAL,2011,18
MAHARASHTRA,AURANGABAD RURAL,2012,25
JAMMU & KASHMIR,AWANTIPORA,2001,1
JAMMU & KASHMIR,AWANTIPORA,2002,1
JAMMU & KASHMIR,AWANTIPORA,2003,2
JAMMU & KASHMIR,AWANTIPORA,2004,8
JAMMU & KASHMIR,AWANTIPORA,2005,7
