STATE/UT,DISTRICT,YEAR,KIDNAPPING & ABDUCTION
UTTAR PRADESH,AZAMGARH,2011,120
UTTAR PRADESH,AZAMGARH,2012,121
UTTAR PRADESH,BADAUN,2001,82
UTTAR PRADESH,BADAUN,2002,88
UTTAR PRADESH,BADAUN,2003,73
UTTAR PRADESH,BADAUN,2004,96
UTTAR PRADESH,BADAUN,2005,77
UTTAR PRADESH,BADAUN,2006,64
UTTAR PRADESH,BADAUN,2007,53
UTTAR PRADESH,BADAUN,2008,53
UTTAR PRADESH,BADAUN,2009,96
UTTAR PRADESH,BADAUN,2010,81
UTTAR PRADESH,BADAUN,2011,137
UTTAR PRADESH,BADAUN,2012,107
HIMACHAL PRADESH,BADDIPOLICEDIST,2009,3
HIMACHAL PRADESH,BADDIPOLICEDIST,2010,9
HIMACHAL PRADESH,BADDIPOLICEDIST,2011,17
HIMACHAL PRADESH,BADDIPOLICEDIST,2012,10
BIHAR,BAGAHA,2001,56
BIHAR,BAGAHA,2002,49
BIHAR,BAGAHA,2003,40
BIHAR,BAGAHA,2004,88
BIHAR,BAGAHA,2005,85
BIHAR,BAGAHA,2006,44
BIHAR,BAGAHA,2007,58
BIHAR,BAGAHA,2008,49
BIHAR,BAGAHA,2009,46
BIHAR,BAGAHA,2010,66
BIHAR,BAGAHA,2011,62
BIHAR,BAGAHA,2012,76
KARNATAKA,BAGALKOT,2001,17
KARNATAKA,BAGALKOT,2002,17
KARNATAKA,BAGALKOT,2003,16
KARNATAKA,BAGALKOT,2004,24
KARNATAKA,BAGALKOT,2005,15
KARNATAKA,BAGALKOT,2006,20
KARNATAKA,BAGALKOT,2007,27
KARNATAKA,BAGALKOT,2008,22
KARNATAKA,BAGALKOT,2009,18
KARNATAKA,BAGALKOT,2010,11
KARNATAKA,BAGALKOT,2011,15
KARNATAKA,BAGALKOT,2012,17
UTTARAKHAND,BAGESHWAR,2001,4
UTTARAKHAND,BAGESHWAR,2002,3
UTTARAKHAND,BAGESHWAR,2003,0
UTTARAKHAND,BAGESHWAR,2004,4
UTTARAKHAND,BAGESHWAR,2005,2
UTTARAKHAND,BAGESHWAR,2006,4
UTTARAKHAND,BAGESHWAR,2007,0
UTTARAKHAND,BAGESHWAR,2008,3
UTTARAKHAND,BAGESHWAR,2009,1
UTTARAKHAND,BAGESHWAR,2010,2
UTTARAKHAND,BAGESHWAR,2011,2
UTTARAKHAND,BAGESHWAR,2012,1
UTTAR PRADESH,BAGHPAT,2001,31
UTTAR PRADESH,BAGHPAT,2002,24
UTTAR PRADESH,BAGHPAT,2003,17
UTTAR PRADESH,BAGHPAT,2004,29
UTTAR PRADESH,BAGHPAT,2005,33
UTTAR PRADESH,BAGHPAT,2006,43
UTTAR PRADESH,BAGHPAT,2007,35
UTTAR PRADESH,BAGHPAT,2008,51
UTTAR PRADESH,BAGHPAT,2009,53
UTTAR PRADESH,BAGHPAT,2010,46
UTTAR PRADESH,BAGHPAT,2011,88
UTTAR PRADESH,BAGHPAT,2012,80
UTTAR PRADESH,BAHRAICH,2001,28
UTTAR PRADESH,BAHRAICH,2002,23
UTTAR PRADESH,BAHRAICH,2003,12
UTTAR PRADESH,BAHRAICH,2004,30
UTTAR PRADESH,BAHRAICH,2005,41
UTTAR PRADESH,BAHRAICH,2006,44
UTTAR PRADESH,BAHRAICH,2007,53
UTTAR PRADESH,BAHRAICH,2008,64
UTTAR PRADESH,BAHRAICH,2009,89
UTTAR PRADESH,BAHRAICH,2010,132
UTTAR PRADESH,BAHRAICH,2011,133
UTTAR PRADESH,BAHRAICH,2012,116
ASSAM,BAKSA,2012,62
MADHYA PRADESH,BALAGHAT,2001,11
MADHYA PRADESH,BALAGHAT,2002,9
MADHYA PRADESH,BALAGHAT,2003,7
MADHYA PRADESH,BALAGHAT,2004,10
MADHYA PRADESH,BALAGHAT,2005,10
MADHYA PRADESH,BALAGHAT,2006,5
MADHYA PRADESH,BALAGHAT,2007,7
MADHYA PRADESH,BALAGHAT,2008,8
MADHYA PRADESH,BALAGHAT,2009,8
MADHYA PRADESH,BALAGHAT,2010,7
MADHYA PRADESH,BALAGHAT,2011,7
MADHYA PRADESH,BALAGHAT,2012,9
ODISHA,BALASORE,2001,37
ODISHA,BALASORE,2002,35
ODISHA,BALASORE,2003,40
ODISHA,BALASORE,2004,35
ODISHA,BALASORE,2005,41
ODISHA,BALASORE,2006,50
ODISHA,BALASORE,2007,51
ODISHA,BALASORE,2008,47
ODISHA,BALASORE,2009,62
ODISHA,BALASORE,2010,75
ODISHA,BALASORE,2011,111
ODISHA,BALASORE,2012,140
UTTAR PRADESH,BALLIA,2001,24
UTTAR PRADESH,BALLIA,2002,14
UTTAR PRADESH,BALLIA,2003,5
UTTAR PRADESH,BALLIA,2004,19
UTTAR PRADESH,BALLIA,2005,8
UTTAR PRADESH,BALLIA,2006,11
UTTAR PRADESH,BALLIA,2007,26
UTTAR PRADESH,BALLIA,2008,33
UTTAR PRADESH,BALLIA,2009,28
UTTAR PRADESH,BALLIA,2010,32
UTTAR PRADESH,BALLIA,2011,66
UTTAR PRADESH,BALLIA,2012,84
