STATE/UT,DISTRICT,YEAR,THEFT
UTTAR PRADESH,BALLIA,2007,105
UTTAR PRADESH,BALLIA,2006,99
UTTAR PRADESH,BALLIA,2005,95
UTTAR PRADESH,BALLIA,2010,93
UTTAR PRADESH,BALLIA,2003,81
CHHATTISGARH,BALOD,2012,75
CHHATTISGARH,BALODA BAZAR,2012,181
CHHATTISGARH,BALRAMPUR,2009,50
CHHATTISGARH,BALRAMPUR,2012,48
CHHATTISGARH,BALRAMPUR,2002,46
CHHATTISGARH,BALRAMPUR,2003,34
CHHATTISGARH,BALRAMPUR,2008,33
CHHATTISGARH,BALRAMPUR,2004,28
CHHATTISGARH,BALRAMPUR,2010,28
CHHATTISGARH,BALRAMPUR,2007,25
CHHATTISGARH,BALRAMPUR,2001,21
CHHATTISGARH,BALRAMPUR,2006,21
CHHATTISGARH,BALRAMPUR,2005,19
CHHATTISGARH,BALRAMPUR,2011,19
UTTAR PRADESH,BALRAMPUR,2001,81
UTTAR PRADESH,BALRAMPUR,2012,62
UTTAR PRADESH,BALRAMPUR,2007,58
UTTAR PRADESH,BALRAMPUR,2009,50
UTTAR PRADESH,BALRAMPUR,2008,48
UTTAR PRADESH,BALRAMPUR,2006,46
UTTAR PRADESH,BALRAMPUR,2002,45
UTTAR PRADESH,BALRAMPUR,2005,44
